10	20	26	30	40	60	80	60	40	30	25	15	15	20	40	60	80	90
13	20	28	32	45	67	86	65	43	34	24	18	19	21	43	65	85	105
15	27	30	40	60	78	90	80	60	50	40	40	30	30	35	40	90	120
17	19	19	24	29	30	50	70	80	90	100	90	80	70	50	60	30	30
14	18	20	21	25	28	30	70	90	110	90	80	75	50	40	30	20	30
10	20	21	25	28	30	70	90	110	90	80	75	50	40	30	20	30	40
20	21	25	28	30	70	90	110	90	80	75	50	40	30	20	30	40	60
10	15	18	20	25	80	120	140	80	40	30	20	10	15	18	20	25	80
15	18	20	25	80	120	140	80	40	30	20	10	15	18	20	25	80	110
15	27	35	45	67	78	100	90	60	50	40	40	30	30	35	40	90	120
